CustomerID,Annual_Spend,Visit_Frequency,Cluster,Segment
1,1200,2,1,Occasional / At-Risk
2,3500,5,2,Mid-Tier Regulars
3,8000,9,0,High-Value VIPs
4,500,1,1,Occasional / At-Risk
5,9500,12,0,High-Value VIPs
6,4200,6,2,Mid-Tier Regulars
7,700,1,1,Occasional / At-Risk
8,11000,14,0,High-Value VIPs
9,2800,4,1,Occasional / At-Risk
10,6500,8,2,Mid-Tier Regulars
11,300,1,1,Occasional / At-Risk
12,7800,10,0,High-Value VIPs
13,4900,7,2,Mid-Tier Regulars
14,1500,3,1,Occasional / At-Risk
15,8800,11,0,High-Value VIPs
16,600,2,1,Occasional / At-Risk
17,3100,5,2,Mid-Tier Regulars
18,9200,13,0,High-Value VIPs
19,5500,7,2,Mid-Tier Regulars
20,2200,3,1,Occasional / At-Risk
